beneficiary_id,pre_training_score,post_training_score,skill_domain,assessment_date
1,55.4,75.1,Data Entry,2023-05-09
2,45.2,57.5,Data Entry,2023-05-06
3,64.3,78.6,Logistics,2023-04-15
4,52.1,74.1,IT,2023-03-07
5,58.7,81.7,IT,2023-04-03
6,35.6,58.9,Logistics,2023-05-26
7,31.9,43.9,IT,2023-05-22
8,60.9,76.7,IT,2023-05-12
9,54.9,68.6,Retail,2023-05-14
10,61.1,74.5,Logistics,2023-04-18
11,30.4,51.8,Logistics,2023-03-29
12,59.3,80.9,Logistics,2023-03-24
13,45.6,69.0,Retail,2023-03-17
14,62.4,76.7,IT,2023-03-23
15,61.7,81.1,Data Entry,2023-03-29
16,48.1,64.2,Logistics,2023-04-18
17,43.0,60.4,Retail,2023-05-24
18,31.5,55.7,Data Entry,2023-05-26
19,30.2,49.3,Logistics,2023-03-31
20,55.2,76.5,IT,2023-04-09
21,35.6,47.7,Data Entry,2023-04-05
22,38.1,56.9,Data Entry,2023-05-15
23,56.7,76.7,IT,2023-03-23
24,53.5,66.5,Logistics,2023-05-17
25,59.7,75.5,IT,2023-03-28
26,55.3,69.8,Logistics,2023-05-04
27,60.7,83.6,Data Entry,2023-03-24
28,45.7,66.4,Logistics,2023-04-18
29,62.9,85.2,Retail,2023-03-14
30,54.1,64.2,Data Entry,2023-05-18
31,52.2,68.4,Data Entry,2023-05-23
32,45.2,57.1,Logistics,2023-03-22
33,48.6,73.4,Logistics,2023-04-08
34,61.8,79.5,Retail,2023-04-30
35,51.1,69.9,IT,2023-03-07
36,49.8,61.0,IT,2023-05-22
37,37.7,55.5,Logistics,2023-04-13
38,53.9,67.8,Logistics,2023-03-03
39,37.5,61.6,Data Entry,2023-05-04
40,37.8,57.5,Logistics,2023-04-22
41,39.4,54.6,Data Entry,2023-04-26
42,65.0,75.4,Retail,2023-04-15
43,48.4,65.6,Retail,2023-05-18
44,58.5,73.2,IT,2023-05-19
45,54.0,64.1,Logistics,2023-05-13
46,36.3,48.9,Retail,2023-05-16
47,31.5,42.7,Logistics,2023-04-05
48,54.8,73.2,Retail,2023-04-05
49,44.7,68.2,IT,2023-03-20
50,51.0,62.8,IT,2023-05-27
51,50.5,69.9,Data Entry,2023-03-09
52,38.4,62.6,Retail,2023-04-25
53,32.2,56.5,IT,2023-03-06
54,59.1,69.4,IT,2023-04-13
55,58.9,83.4,IT,2023-04-16
56,46.9,61.3,IT,2023-04-05
57,30.6,54.4,Data Entry,2023-03-04
58,55.3,70.8,Retail,2023-05-02
59,34.3,55.7,Logistics,2023-05-24
60,45.6,56.8,Data Entry,2023-05-06
61,31.8,54.2,IT,2023-03-31
62,52.9,66.4,Logistics,2023-03-12
63,30.9,43.0,Data Entry,2023-04-20
64,49.4,63.8,Retail,2023-05-20
65,34.5,47.2,Data Entry,2023-03-03
66,30.7,48.0,Logistics,2023-05-11
67,45.1,62.1,Retail,2023-05-24
68,59.5,75.8,Logistics,2023-05-14
69,52.9,76.1,Data Entry,2023-03-15
70,36.8,49.0,Retail,2023-05-22
71,35.1,59.0,Retail,2023-04-06
72,58.2,80.4,Retail,2023-04-19
73,53.7,70.7,IT,2023-05-15
74,63.9,86.1,Retail,2023-03-22
75,51.5,75.7,Data Entry,2023-04-06
76,57.8,72.3,Logistics,2023-03-26
77,53.3,74.2,IT,2023-04-13
78,61.5,72.4,Retail,2023-04-08
79,64.6,79.6,Data Entry,2023-05-20
80,45.9,64.9,IT,2023-04-06
81,61.4,81.5,Data Entry,2023-04-25
82,48.3,67.4,Retail,2023-04-17
83,60.4,81.4,Logistics,2023-03-18
84,40.9,57.6,Retail,2023-03-06
85,32.0,43.7,Logistics,2023-05-02
86,55.1,77.0,Logistics,2023-03-13
87,58.9,79.9,Logistics,2023-05-26
88,46.1,71.0,Retail,2023-04-03
89,37.2,47.3,IT,2023-04-07
90,56.2,78.1,IT,2023-05-16
91,36.9,47.8,IT,2023-05-16
92,57.7,69.1,Data Entry,2023-05-11
93,30.6,47.3,Retail,2023-04-15
94,51.9,76.4,Data Entry,2023-04-18
95,61.5,74.9,Data Entry,2023-04-05
96,58.4,78.5,Retail,2023-05-04
97,45.0,67.1,Logistics,2023-04-01
98,45.7,67.2,IT,2023-05-01
99,33.3,46.2,IT,2023-04-07
100,64.1,74.7,IT,2023-04-01
101,64.8,81.4,Logistics,2023-03-11
102,50.6,63.1,Data Entry,2023-03-23
103,48.5,62.2,Logistics,2023-03-30
104,58.1,72.9,Data Entry,2023-05-14
105,34.1,46.3,Retail,2023-03-19
106,59.6,74.5,Retail,2023-05-10
107,64.9,88.2,Data Entry,2023-03-04
108,32.1,46.7,IT,2023-05-14
109,56.3,67.5,Logistics,2023-05-03
110,48.7,71.2,IT,2023-03-07
111,58.3,80.7,Retail,2023-03-11
112,63.3,87.8,IT,2023-03-16
113,64.5,83.1,Data Entry,2023-05-28
114,64.8,87.2,Logistics,2023-04-26
115,47.8,60.9,IT,2023-04-05
116,41.6,53.3,IT,2023-04-08
117,44.2,59.0,Retail,2023-03-21
118,30.5,53.2,Retail,2023-03-13
119,33.7,51.4,Data Entry,2023-03-06
120,45.4,62.3,Retail,2023-03-21
121,47.4,62.2,Retail,2023-03-14
122,40.6,64.6,IT,2023-05-26
123,45.7,67.8,Data Entry,2023-04-16
124,61.0,83.7,Retail,2023-04-12
125,58.6,77.9,Data Entry,2023-05-12
126,59.9,75.5,Data Entry,2023-05-14
127,38.8,49.3,IT,2023-05-06
128,38.0,54.5,Retail,2023-03-19
129,47.0,67.3,Retail,2023-04-05
130,36.9,61.1,Data Entry,2023-05-29
131,34.9,54.5,IT,2023-03-25
132,64.3,81.3,IT,2023-05-23
133,52.8,64.8,IT,2023-03-30
134,63.4,86.2,Retail,2023-05-28
135,60.2,73.0,Data Entry,2023-03-05
136,44.0,66.9,Retail,2023-05-13
137,51.1,72.8,Logistics,2023-05-02
138,59.8,82.0,Data Entry,2023-03-31
139,37.9,53.7,IT,2023-04-12
140,57.3,68.6,Retail,2023-05-15
141,35.1,59.8,Data Entry,2023-05-12
142,44.6,59.3,Retail,2023-05-19
143,41.5,62.2,IT,2023-05-13
144,47.3,59.4,Retail,2023-04-28
145,54.7,67.9,Data Entry,2023-03-13
146,60.6,84.9,Retail,2023-04-15
147,43.9,67.4,Retail,2023-05-29
148,37.7,54.5,Logistics,2023-05-18
149,50.4,64.2,Data Entry,2023-05-29
150,62.7,81.5,Retail,2023-05-02
151,33.6,49.9,IT,2023-03-07
152,34.8,47.3,IT,2023-04-05
153,53.0,74.3,IT,2023-05-08
154,41.3,52.4,Logistics,2023-04-10
155,39.8,61.1,IT,2023-04-01
156,35.5,51.2,IT,2023-05-25
157,60.7,82.1,IT,2023-05-06
158,57.5,71.9,Retail,2023-04-25
159,36.9,55.9,Logistics,2023-05-28
160,59.5,70.9,Logistics,2023-05-08
161,43.7,56.1,Retail,2023-04-02
162,47.7,60.9,IT,2023-04-19
163,61.5,74.1,Logistics,2023-05-25
164,51.6,72.6,Logistics,2023-04-21
165,38.4,54.5,Logistics,2023-03-10
166,61.7,77.6,Data Entry,2023-04-26
167,33.0,50.5,Retail,2023-04-20
168,57.1,67.7,Retail,2023-03-28
169,36.4,55.3,IT,2023-05-13
170,49.8,72.6,Retail,2023-03-05
171,56.0,80.1,Retail,2023-05-23
172,30.2,46.3,Data Entry,2023-04-21
173,59.5,83.5,IT,2023-03-21
174,44.8,63.0,IT,2023-03-20
175,34.2,46.5,Data Entry,2023-03-15
176,42.4,55.7,Retail,2023-05-07
177,60.3,84.6,Data Entry,2023-04-13
178,58.2,74.9,Retail,2023-05-29
179,53.8,65.3,Retail,2023-03-18
180,31.4,41.8,Retail,2023-03-07
181,61.6,80.9,Data Entry,2023-04-17
182,50.7,75.1,Logistics,2023-03-26
183,56.3,79.0,Retail,2023-04-01
184,44.7,56.4,Logistics,2023-05-06
185,48.8,61.1,Data Entry,2023-04-22
186,44.8,63.6,Logistics,2023-04-09
187,30.8,44.8,Data Entry,2023-05-18
188,37.5,52.6,Logistics,2023-05-13
189,52.5,69.3,IT,2023-03-20
190,63.4,80.5,Data Entry,2023-04-23
191,52.6,77.1,IT,2023-05-18
192,39.6,62.8,Retail,2023-04-27
193,59.1,70.9,Retail,2023-05-13
194,55.3,70.3,Data Entry,2023-05-16
195,56.1,74.1,Logistics,2023-05-30
196,53.9,66.5,IT,2023-04-26
197,34.2,45.9,Data Entry,2023-04-30
198,59.2,81.0,Data Entry,2023-04-12
199,31.3,47.4,Data Entry,2023-04-24
200,47.6,63.4,Data Entry,2023-03-05
201,62.4,83.2,IT,2023-05-15
202,47.8,72.7,Retail,2023-03-15
203,51.6,65.5,Data Entry,2023-04-15
204,64.6,86.9,Retail,2023-03-20
205,62.7,73.6,Logistics,2023-04-19
206,40.6,50.8,Data Entry,2023-05-18
207,64.6,82.4,Data Entry,2023-03-27
208,37.2,59.3,Logistics,2023-04-01
209,32.2,46.9,Data Entry,2023-05-22
210,46.8,71.0,Logistics,2023-04-18
211,36.2,52.0,Logistics,2023-03-21
212,49.9,68.3,IT,2023-05-02
213,56.4,70.7,Data Entry,2023-04-06
214,34.9,53.4,Retail,2023-04-18
215,33.2,50.3,IT,2023-05-16
216,46.5,69.6,IT,2023-04-18
217,59.2,76.2,IT,2023-03-15
218,37.8,51.0,IT,2023-05-01
219,52.5,69.6,Data Entry,2023-03-26
220,60.5,75.1,Data Entry,2023-04-18
221,36.7,51.4,Logistics,2023-03-31
222,57.7,72.9,Logistics,2023-05-24
223,50.5,63.7,Data Entry,2023-05-05
224,50.5,67.5,Logistics,2023-03-01
225,37.9,60.1,IT,2023-03-28
226,46.7,66.2,Logistics,2023-03-02
227,40.2,61.5,Retail,2023-04-03
228,50.2,72.8,IT,2023-05-20
229,54.2,64.4,Data Entry,2023-05-10
230,49.3,66.4,Retail,2023-03-17
231,55.7,75.6,Data Entry,2023-04-16
232,46.0,58.2,IT,2023-03-17
233,55.6,76.9,Logistics,2023-05-25
234,56.3,75.7,Logistics,2023-05-15
235,49.8,71.2,Logistics,2023-03-27
236,47.1,67.6,IT,2023-05-09
237,64.4,84.7,IT,2023-03-24
238,40.3,63.3,IT,2023-05-10
239,53.9,73.8,Data Entry,2023-03-24
