beneficiary_id,employed,employment_type,employer_name,job_role,salary_monthly,employment_date,job_duration_months
1893,True,Self,TCS,Analyst,21410.89,2023-01-29,13
1306,True,Self,Amazon,Driver,17434.58,2023-04-24,19
6782,True,Self,Flipkart,Operator,24811.14,2023-05-03,7
4687,True,Self,Infosys,Operator,16216.51,2023-01-03,21
8699,True,Wage,Amazon,Driver,15879.2,2023-04-13,20
8453,True,Wage,Infosys,Analyst,10617.69,2023-04-05,7
7969,True,Wage,Local Shop,Analyst,24127.95,2023-01-20,23
9008,True,Self,Infosys,Driver,18004.13,2023-04-08,24
9948,True,Self,Amazon,Operator,11072.38,2023-02-13,6
8705,True,Self,TCS,Driver,12924.34,2023-02-10,9
3820,True,Wage,Amazon,Associate,19708.33,2023-01-30,18
3704,True,Self,Amazon,Associate,19202.51,2023-03-21,22
7981,True,Self,Flipkart,Driver,21257.68,2023-02-25,10
3724,True,Wage,Infosys,Analyst,18576.81,2023-04-26,11
2981,True,Self,Amazon,Associate,17658.87,2023-03-05,14
510,True,Self,Flipkart,Associate,24014.47,2023-03-14,11
2972,True,Self,Flipkart,Driver,10515.88,2023-03-05,14
5871,True,Wage,TCS,Driver,13694.56,2023-02-24,7
3443,True,Self,Local Shop,Driver,11850.63,2023-02-01,7
5434,True,Wage,Infosys,Associate,10564.21,2023-03-02,23
3787,True,Wage,Amazon,Operator,19051.97,2023-02-20,19
6797,True,Self,Amazon,Associate,13421.78,2023-02-19,18
5171,True,Self,Flipkart,Driver,12430.26,2023-05-10,11
4609,True,Self,Local Shop,Associate,10665.6,2023-02-11,19
104,True,Wage,Infosys,Associate,24588.75,2023-04-12,21
2848,True,Self,Infosys,Operator,12069.31,2023-05-16,20
7653,True,Self,Amazon,Analyst,15941.84,2023-02-10,23
8734,True,Self,TCS,Associate,17062.59,2023-04-11,7
6746,True,Self,Local Shop,Driver,14755.84,2023-04-01,14
5395,True,Wage,Flipkart,Associate,11701.15,2023-02-22,23
6821,True,Wage,Flipkart,Analyst,16218.23,2023-02-01,8
682,True,Wage,Amazon,Driver,18580.81,2023-02-25,15
8093,True,Wage,Infosys,Associate,14901.84,2023-01-10,19
4524,True,Wage,Flipkart,Analyst,19416.68,2023-02-21,11
1212,True,Wage,Flipkart,Driver,10770.18,2023-03-19,22
6851,True,Self,Infosys,Analyst,14356.16,2023-04-09,10
8778,True,Self,Amazon,Operator,24660.87,2023-03-13,6
8525,True,Wage,TCS,Associate,17373.45,2023-02-01,15
1390,True,Wage,TCS,Operator,12242.61,2023-02-11,17
1246,True,Wage,TCS,Analyst,10288.37,2023-03-03,16
3766,True,Self,Infosys,Associate,21149.41,2023-03-14,17
4697,True,Wage,Local Shop,Analyst,24672.08,2023-05-18,21
6711,True,Self,Local Shop,Analyst,16465.66,2023-03-12,20
9230,True,Wage,Local Shop,Driver,15601.46,2023-01-19,15
8485,True,Self,Amazon,Driver,21095.78,2023-01-08,8
4493,True,Self,Amazon,Driver,13856.22,2023-01-17,8
1459,True,Wage,Local Shop,Associate,12001.21,2023-05-14,13
9086,True,Self,Flipkart,Analyst,15829.73,2023-02-20,13
5524,True,Self,TCS,Analyst,23970.73,2023-03-09,16
6026,True,Wage,Amazon,Driver,14339.11,2023-01-26,15
3216,True,Wage,Amazon,Operator,13883.61,2023-01-23,18
8662,True,Wage,TCS,Associate,10437.85,2023-01-17,11
9381,True,Wage,Local Shop,Operator,14637.96,2023-03-19,15
3751,True,Wage,Infosys,Driver,11746.58,2023-01-27,7
1615,True,Wage,Flipkart,Associate,18765.56,2023-01-30,17
8008,True,Wage,Flipkart,Associate,10212.24,2023-01-30,24
5612,True,Self,TCS,Operator,20661.1,2023-03-24,14
925,True,Self,Amazon,Driver,14596.68,2023-05-01,22
214,True,Self,Flipkart,Driver,24771.87,2023-05-03,20
9512,True,Self,Local Shop,Driver,17155.86,2023-01-09,19
5474,True,Self,Amazon,Analyst,12974.92,2023-04-16,23
6696,True,Wage,Local Shop,Associate,15835.0,2023-05-10,15
1281,True,Self,Infosys,Driver,10653.41,2023-04-15,24
4231,True,Wage,Local Shop,Operator,13898.67,2023-03-17,10
9159,True,Wage,Amazon,Operator,12663.78,2023-04-17,16
8735,True,Self,Amazon,Analyst,15996.93,2023-05-17,18
358,True,Wage,Infosys,Analyst,10469.53,2023-02-10,10
1223,True,Self,Flipkart,Associate,18623.2,2023-01-05,10
9642,True,Wage,Flipkart,Driver,23553.75,2023-01-10,7
3475,True,Self,Local Shop,Driver,20763.37,2023-05-23,17
4482,True,Wage,Infosys,Operator,14539.96,2023-01-02,24
3325,True,Self,Flipkart,Operator,12321.24,2023-03-21,21
4741,True,Self,TCS,Associate,18369.22,2023-05-22,11
9730,True,Self,Flipkart,Operator,16091.5,2023-04-20,15
3915,True,Self,Local Shop,Driver,15978.08,2023-01-16,12
8701,True,Self,Amazon,Analyst,22786.83,2023-01-26,20
7827,True,Self,TCS,Analyst,13189.33,2023-02-22,14
1312,True,Self,Amazon,Associate,14236.04,2023-02-25,20
3826,True,Self,Flipkart,Analyst,19638.42,2023-02-08,22
4132,True,Wage,Infosys,Driver,16140.88,2023-04-28,22
4900,True,Self,TCS,Operator,15649.86,2023-02-07,14
3962,True,Wage,TCS,Operator,24030.94,2023-03-03,23
9254,True,Wage,Local Shop,Operator,12899.59,2023-01-01,9
1907,True,Wage,Infosys,Analyst,13188.25,2023-04-04,15
5597,True,Wage,TCS,Analyst,15184.98,2023-02-08,18
9751,True,Self,Local Shop,Analyst,16326.35,2023-03-05,13
3477,True,Self,Flipkart,Driver,23645.32,2023-01-17,19
6693,True,Wage,Infosys,Analyst,18366.83,2023-01-22,19
8175,True,Self,TCS,Associate,17561.23,2023-04-27,7
5777,True,Self,Flipkart,Associate,21615.87,2023-04-05,16
3827,True,Self,TCS,Associate,23266.46,2023-04-29,14
5794,True,Wage,TCS,Operator,16900.34,2023-01-18,23
4292,True,Wage,Amazon,Operator,13738.71,2023-03-06,8
7167,True,Self,Infosys,Operator,20418.56,2023-02-17,10
5001,True,Self,Local Shop,Associate,23945.0,2023-01-28,18
5221,True,Self,Flipkart,Driver,24465.1,2023-01-24,8
7833,True,Self,TCS,Associate,10362.03,2023-03-20,12
5833,True,Wage,Amazon,Driver,16123.67,2023-05-10,19
2992,True,Wage,Infosys,Operator,19851.08,2023-05-19,22
