beneficiary_id,feedback_text,rating,feedback_date,sentiment_score
1,Excellent content,3,2023-06-27T14:00:00,0.66
2,Very helpful,3,2023-06-14T11:00:00,0.84
3,Could be better,3,2023-06-15T11:00:00,0.79
4,Could be better,2,2023-06-10T09:00:00,0.54
5,Very helpful,4,2023-06-12T16:00:00,0.93
6,Could be better,2,2023-06-11T16:00:00,0.59
7,Excellent content,4,2023-06-09T10:00:00,0.66
8,Excellent content,4,2023-06-27T09:00:00,0.37
9,Very helpful,4,2023-06-21T18:00:00,0.76
10,Too fast,4,2023-06-11T11:00:00,0.72
11,Excellent content,5,2023-06-28T11:00:00,0.72
12,Very helpful,4,2023-06-27T12:00:00,0.53
13,Could be better,4,2023-06-13T15:00:00,0.92
14,Could be better,4,2023-06-08T14:00:00,0.49
15,Excellent content,3,2023-06-22T12:00:00,0.65
16,Very helpful,2,2023-06-19T10:00:00,0.81
17,Very helpful,3,2023-06-14T16:00:00,0.44
18,Could be better,5,2023-06-21T09:00:00,0.68
19,Could be better,4,2023-06-24T15:00:00,0.59
20,Excellent content,3,2023-06-04T18:00:00,0.56
21,Very helpful,3,2023-06-28T14:00:00,0.41
22,Could be better,4,2023-06-05T17:00:00,0.6
23,Too fast,4,2023-06-12T17:00:00,0.89
24,Very helpful,4,2023-06-17T16:00:00,0.39
25,Excellent content,3,2023-06-18T14:00:00,0.39
26,Could be better,5,2023-06-03T10:00:00,0.35
27,Excellent content,4,2023-06-08T15:00:00,0.63
28,Excellent content,4,2023-06-06T09:00:00,0.78
29,Excellent content,4,2023-06-27T10:00:00,0.66
30,Could be better,5,2023-06-15T18:00:00,0.92
31,Very helpful,5,2023-06-23T17:00:00,0.87
32,Very helpful,5,2023-06-11T18:00:00,0.33
33,Very helpful,4,2023-06-02T15:00:00,0.56
34,Very helpful,3,2023-06-23T14:00:00,0.95
35,Excellent content,4,2023-06-03T09:00:00,0.3
36,Very helpful,4,2023-06-07T14:00:00,0.9
37,Very helpful,4,2023-06-15T16:00:00,0.71
38,Excellent content,4,2023-06-18T16:00:00,0.38
39,Excellent content,4,2023-06-17T15:00:00,0.87
40,Very helpful,4,2023-06-04T13:00:00,0.4
41,Excellent content,4,2023-06-03T11:00:00,0.39
42,Excellent content,3,2023-06-27T16:00:00,0.71
43,Too fast,4,2023-06-13T16:00:00,0.46
44,Excellent content,5,2023-06-21T14:00:00,0.57
45,Too fast,5,2023-06-10T11:00:00,0.9
46,Very helpful,4,2023-06-27T09:00:00,0.9
47,Very helpful,3,2023-06-10T15:00:00,0.91
48,Could be better,4,2023-06-11T17:00:00,0.58
49,Very helpful,4,2023-06-01T12:00:00,0.83
50,Too fast,4,2023-06-26T13:00:00,0.62
51,Could be better,3,2023-06-26T12:00:00,0.47
52,Very helpful,4,2023-06-15T09:00:00,0.75
53,Excellent content,4,2023-06-28T15:00:00,0.56
54,Could be better,3,2023-06-26T17:00:00,0.6
55,Too fast,2,2023-06-25T15:00:00,0.61
56,Very helpful,3,2023-06-20T10:00:00,0.3
57,Could be better,4,2023-06-17T09:00:00,0.62
58,Too fast,5,2023-06-22T10:00:00,0.31
59,Excellent content,5,2023-06-10T18:00:00,0.75
60,Could be better,3,2023-06-23T11:00:00,0.49
61,Very helpful,5,2023-06-14T14:00:00,0.4
62,Excellent content,2,2023-06-10T12:00:00,0.67
63,Very helpful,4,2023-06-22T13:00:00,0.76
64,Could be better,2,2023-06-27T13:00:00,0.51
65,Too fast,4,2023-06-07T11:00:00,0.89
66,Too fast,4,2023-06-10T17:00:00,0.54
67,Excellent content,4,2023-06-17T14:00:00,0.92
68,Excellent content,3,2023-06-06T13:00:00,0.75
69,Very helpful,2,2023-06-10T10:00:00,0.84
70,Too fast,3,2023-06-17T11:00:00,0.63
71,Could be better,4,2023-06-25T15:00:00,0.32
72,Too fast,4,2023-06-27T12:00:00,0.33
73,Too fast,4,2023-06-06T10:00:00,0.54
74,Too fast,4,2023-06-20T15:00:00,0.39
75,Excellent content,3,2023-06-26T11:00:00,0.52
76,Could be better,5,2023-06-16T09:00:00,0.31
77,Too fast,4,2023-06-10T15:00:00,0.92
78,Could be better,3,2023-06-16T12:00:00,0.8
79,Excellent content,5,2023-06-23T15:00:00,0.87
80,Very helpful,4,2023-06-09T17:00:00,0.65
81,Could be better,5,2023-06-23T11:00:00,0.55
82,Very helpful,5,2023-06-26T09:00:00,0.87
83,Too fast,3,2023-06-11T10:00:00,0.47
84,Could be better,4,2023-06-21T11:00:00,0.73
85,Could be better,4,2023-06-17T11:00:00,0.6
86,Very helpful,4,2023-06-03T12:00:00,0.31
87,Too fast,4,2023-06-03T12:00:00,0.47
88,Very helpful,4,2023-06-17T11:00:00,0.91
89,Very helpful,4,2023-06-11T13:00:00,0.64
90,Too fast,4,2023-06-06T11:00:00,0.71
91,Could be better,5,2023-06-06T15:00:00,0.82
92,Could be better,4,2023-06-16T15:00:00,0.44
93,Very helpful,4,2023-06-09T18:00:00,0.88
94,Excellent content,4,2023-06-23T18:00:00,0.58
95,Could be better,3,2023-06-27T12:00:00,0.54
96,Too fast,4,2023-06-28T09:00:00,0.63
97,Could be better,4,2023-06-23T17:00:00,0.71
98,Very helpful,3,2023-06-16T17:00:00,0.3
99,Excellent content,4,2023-06-14T12:00:00,0.69
100,Very helpful,3,2023-06-23T12:00:00,0.67
101,Excellent content,4,2023-06-04T10:00:00,0.93
102,Very helpful,4,2023-06-17T18:00:00,0.77
103,Very helpful,4,2023-06-01T13:00:00,0.33
104,Too fast,2,2023-06-04T11:00:00,0.68
105,Very helpful,4,2023-06-25T11:00:00,0.83
106,Excellent content,4,2023-06-08T15:00:00,0.68
107,Too fast,5,2023-06-13T12:00:00,0.39
108,Excellent content,4,2023-06-23T11:00:00,0.53
109,Very helpful,3,2023-06-11T09:00:00,0.39
110,Very helpful,4,2023-06-27T09:00:00,0.92
111,Excellent content,4,2023-06-04T11:00:00,0.85
112,Too fast,5,2023-06-02T17:00:00,0.37
113,Very helpful,4,2023-06-20T15:00:00,0.84
114,Very helpful,4,2023-06-07T15:00:00,0.67
115,Too fast,5,2023-06-25T11:00:00,0.87
116,Could be better,4,2023-06-25T18:00:00,0.66
117,Could be better,4,2023-06-01T11:00:00,0.56
118,Very helpful,4,2023-06-14T17:00:00,0.78
119,Too fast,4,2023-06-20T15:00:00,0.84
120,Too fast,5,2023-06-28T12:00:00,0.82
121,Excellent content,5,2023-06-14T11:00:00,0.4
122,Could be better,5,2023-06-22T11:00:00,0.86
123,Excellent content,2,2023-06-01T10:00:00,0.59
124,Too fast,2,2023-06-18T09:00:00,0.55
125,Could be better,4,2023-06-13T16:00:00,0.82
126,Very helpful,5,2023-06-14T16:00:00,0.76
127,Could be better,2,2023-06-02T18:00:00,0.38
128,Too fast,4,2023-06-18T14:00:00,0.9
129,Very helpful,3,2023-06-06T11:00:00,0.68
130,Excellent content,2,2023-06-28T16:00:00,0.78
131,Too fast,4,2023-06-09T15:00:00,0.83
132,Excellent content,4,2023-06-25T12:00:00,0.71
133,Excellent content,5,2023-06-04T14:00:00,0.75
134,Excellent content,4,2023-06-07T17:00:00,0.91
135,Could be better,4,2023-06-10T15:00:00,0.68
136,Excellent content,3,2023-06-18T16:00:00,0.51
137,Excellent content,4,2023-06-25T13:00:00,0.34
138,Too fast,3,2023-06-18T11:00:00,0.81
139,Very helpful,4,2023-06-25T17:00:00,0.41
140,Could be better,4,2023-06-23T09:00:00,0.43
141,Too fast,4,2023-06-13T17:00:00,0.69
142,Excellent content,4,2023-06-02T09:00:00,0.43
143,Too fast,4,2023-06-21T14:00:00,0.33
144,Too fast,4,2023-06-14T13:00:00,0.32
145,Could be better,4,2023-06-02T11:00:00,0.76
146,Very helpful,5,2023-06-19T14:00:00,0.94
147,Too fast,3,2023-06-28T09:00:00,0.65
148,Very helpful,3,2023-06-02T11:00:00,0.56
149,Too fast,4,2023-06-19T10:00:00,0.52
150,Could be better,5,2023-06-05T18:00:00,0.41
151,Excellent content,4,2023-06-17T15:00:00,0.64
152,Very helpful,3,2023-06-15T09:00:00,0.34
153,Very helpful,3,2023-06-13T18:00:00,0.69
154,Excellent content,3,2023-06-03T15:00:00,0.47
155,Too fast,4,2023-06-12T16:00:00,0.47
156,Excellent content,4,2023-06-10T09:00:00,0.74
157,Very helpful,5,2023-06-20T10:00:00,0.8
158,Too fast,4,2023-06-16T13:00:00,0.59
159,Excellent content,4,2023-06-11T09:00:00,0.68
160,Excellent content,4,2023-06-28T17:00:00,0.55
161,Too fast,4,2023-06-09T15:00:00,0.56
162,Too fast,4,2023-06-17T16:00:00,0.88
163,Too fast,2,2023-06-09T14:00:00,0.36
164,Very helpful,4,2023-06-05T09:00:00,0.78
165,Very helpful,4,2023-06-11T10:00:00,0.5
166,Could be better,4,2023-06-02T11:00:00,0.85
167,Too fast,4,2023-06-09T12:00:00,0.87
168,Excellent content,4,2023-06-14T16:00:00,0.51
169,Excellent content,5,2023-06-21T15:00:00,0.41
170,Could be better,5,2023-06-28T14:00:00,0.89
171,Excellent content,4,2023-06-07T18:00:00,0.87
172,Excellent content,4,2023-06-17T10:00:00,0.32
173,Could be better,4,2023-06-14T14:00:00,0.53
174,Could be better,3,2023-06-15T17:00:00,0.48
175,Too fast,3,2023-06-17T13:00:00,0.73
176,Too fast,2,2023-06-11T12:00:00,0.83
177,Excellent content,3,2023-06-05T15:00:00,0.86
178,Could be better,4,2023-06-11T17:00:00,0.59
179,Excellent content,4,2023-06-14T14:00:00,0.69
180,Too fast,5,2023-06-27T09:00:00,0.66
181,Excellent content,5,2023-06-04T12:00:00,0.93
182,Too fast,5,2023-06-15T13:00:00,0.77
183,Could be better,5,2023-06-15T10:00:00,0.93
184,Too fast,3,2023-06-22T12:00:00,0.52
185,Could be better,4,2023-06-09T09:00:00,0.78
186,Too fast,2,2023-06-01T11:00:00,0.7
187,Could be better,4,2023-06-06T15:00:00,0.47
188,Could be better,3,2023-06-03T14:00:00,0.6
189,Excellent content,2,2023-06-15T14:00:00,0.48
190,Could be better,3,2023-06-17T13:00:00,0.4
191,Too fast,3,2023-06-07T12:00:00,0.78
192,Too fast,5,2023-06-26T14:00:00,0.85
193,Excellent content,4,2023-06-10T18:00:00,0.68
194,Very helpful,4,2023-06-08T10:00:00,0.46
195,Could be better,4,2023-06-24T11:00:00,0.81
196,Excellent content,4,2023-06-12T11:00:00,0.62
197,Too fast,2,2023-06-07T15:00:00,0.44
198,Very helpful,5,2023-06-20T12:00:00,0.6
199,Very helpful,4,2023-06-20T13:00:00,0.6
200,Could be better,4,2023-06-05T10:00:00,0.33
201,Very helpful,3,2023-06-07T11:00:00,0.65
202,Excellent content,4,2023-06-18T16:00:00,0.73
203,Too fast,4,2023-06-25T13:00:00,0.9
204,Very helpful,4,2023-06-08T15:00:00,0.68
205,Too fast,4,2023-06-04T18:00:00,0.56
206,Very helpful,2,2023-06-11T15:00:00,0.86
207,Too fast,4,2023-06-15T12:00:00,0.78
208,Too fast,3,2023-06-01T10:00:00,0.35
209,Could be better,4,2023-06-16T13:00:00,0.54
210,Very helpful,2,2023-06-04T18:00:00,0.71
211,Very helpful,4,2023-06-14T14:00:00,0.63
212,Excellent content,5,2023-06-13T17:00:00,0.3
213,Could be better,2,2023-06-25T13:00:00,0.9
214,Too fast,4,2023-06-20T15:00:00,0.76
215,Too fast,5,2023-06-02T09:00:00,0.92
216,Too fast,3,2023-06-11T15:00:00,0.71
217,Excellent content,4,2023-06-22T18:00:00,0.86
218,Very helpful,4,2023-06-24T14:00:00,0.94
219,Could be better,4,2023-06-12T15:00:00,0.63
220,Very helpful,3,2023-06-22T18:00:00,0.49
221,Could be better,5,2023-06-11T12:00:00,0.8
222,Too fast,3,2023-06-16T16:00:00,0.7
223,Excellent content,5,2023-06-24T14:00:00,0.86
224,Excellent content,4,2023-06-21T18:00:00,0.86
225,Could be better,4,2023-06-09T11:00:00,0.6
226,Very helpful,2,2023-06-21T09:00:00,0.52
227,Too fast,3,2023-06-14T10:00:00,0.42
228,Excellent content,4,2023-06-02T13:00:00,0.43
229,Could be better,4,2023-06-07T16:00:00,0.58
230,Could be better,4,2023-06-11T16:00:00,0.6
